Volume Name                  VMFS UUID                            Extent Number  Device Name                           Partition
---------------------------  -----------------------------------  -------------  ------------------------------------  ---------
EVA2_L07_Slow                5718cf93-aa166493-592a-f0921c0d94e0              0  naa.600143801259d2e70000900000970000          1
EVA2_L04_Default             58905c1f-5c277bd6-0be0-f0921c0d94e0              0  naa.600143801259d2e70000900000c80000          1
NETAPP2240_L01_ESX10_HYP_22  58e5f870-2e798fb0-e509-f0921c0d94e0              0  naa.600a098052586459562b4a6c45544b6e          1
NETAPP2240_L02_ESX10_HYP_23  58e5f990-8558bafb-a009-f0921c0d94e0              0  naa.600a09805258646539244a6c6c583573          1
NETAPP2240_L04_ESX10_HYP_25  58e73a4c-397b7dff-1d3c-f0921c0d94e0              0  naa.600a09805258646539244a6c6c583574          1
NETAPP2240_L03_ESX10         58eb8752-704743b9-9b75-9cb6549930a0              0  naa.600a098052586459562b4a6c45544b6f          1
3PAR7400_L01                 58f5bd81-b58db2b0-eac3-f0921c0d94e0              0  naa.60002ac0000000000000001d00014e91          1
3PAR7400_L02                 58f5be03-38b5928b-fa88-f0921c0d94e0              0  naa.60002ac0000000000000001c00014e91          1
EVA1_L34_Fast                596c5f74-833e8d58-d3fd-f0921c0d94e0              0  naa.6001438009b050e600005000030b0000          1
EVA1_L35_Fast                596c94e5-7786c420-e614-f0921c0d94e0              0  naa.6001438009b050e600005000036a0000          1
EVA1_L36_Default             596dfdd1-a7aa90e9-41a8-f0921c14ab40              0  naa.6001438009b050e600005000039a0000          1
B_NETAPP8020_L81_SAS_M       5982e025-2ffebaac-01df-f0921c0d94e0              0  naa.600a098038304273765d4b4c73474265          1
B_NETAPP8020_L83_SATA_M      59833315-08d19257-c285-9cdc716232f0              0  naa.600a0980383042736c5d4b4c6a39796b          1
B_NETAPP8020_L84_SATA_M      5983332c-be5e3001-bb56-9cdc716269e0              0  naa.600a0980383042736c5d4b4c6a39796c          1
B_NETAPP8020_L85_SATA_M      59833345-ba05f4b5-a266-9cdc71625110              0  naa.600a0980383042736c5d4b4c6a39796d          1
B_NETAPP8020_L86_SATA_M      5983335d-1c9ef988-37ef-9cdc716232f0              0  naa.600a0980383042736c5d4b4c6a39796e          1
B_NETAPP8020_L88_SATA        598333aa-2ce8b5a9-0aac-9cdc71625110              0  naa.600a0980383042736c5d4b4c6a397966          1
B_NETAPP8020_L89_SATA        598333bf-f258e550-4266-9cdc716232f0              0  naa.600a0980383042736c5d4b4c6a397967          1
B_NETAPP8020_L90_SATA        598333d7-1b94204e-13e3-9cdc716269e0              0  naa.600a0980383042736c5d4b4c6a397968          1
B_NETAPP8020_L91_SATA        598333ee-623ada02-7eb7-9cdc71625110              0  naa.600a0980383042736c5d4b4c6a397969          1
A_NETAPP8020_L93_SATA        59833424-d6281eb1-9510-9cdc716269e0              0  naa.600a0980383037764e5d4b4c697a4c54          1
A_NETAPP8020_L94_SATA        59833444-3c11653a-e985-9cdc71625110              0  naa.600a0980383037764e5d4b4c697a4c55          1
A_NETAPP8020_L95_SATA        5983345e-cca673d3-c26d-9cdc716232f0              0  naa.600a0980383037764e5d4b4c697a4c56          1
A_NETAPP8020_L96_SATA        59833479-41ad5b81-a620-9cdc716269e0              0  naa.600a0980383037764e5d4b4c697a4c57          1
B_NETAPP8020_L82_SAS_M       599a966f-a9672fbd-9d8c-f0921c0d94e0              0  naa.600a098038304273765d4b4c73474266          1
EVA1_25Disk_L37              5a9fe4c9-00bff6c4-f4cd-f0921c0d94e0              0  naa.6001438009b050e60000500004500000          1
B_NETAPP8020_L103_SAS_M      5aa8e220-6a683ddc-4c76-f0921c0d94e0              0  naa.600a098038304273765d4b4c73474267          1
B_NETAPP8020_L104_SAS_M      5aa8e24e-c2fc0c9b-c3cc-f0921c0d94e0              0  naa.600a098038304273765d4b4c73474268          1
NetApp9A_L97                 5a97b15c-f128aa9d-6972-f0921c0d94e0              0  naa.60a980003830322d6b2b4c4f33354c4e          1
NetApp9B_L98                 5a97bdb3-2757d281-3cb5-f0921c0d94e0              0  naa.60a980003830322d5a244c4f334f6875          1
NETAPP9_L106                 5aba42b4-6d7746e6-da0a-f0921c0d94e0              0  naa.60a980003830322d5a244c4f334f6879          1
NETAPP9_L105                 5aba443b-bc71243c-b8d6-f0921c0d94e0              0  naa.60a980003830322d6b2b4c4f33354c54          1
EVA1_28SlowDisk_L38          5ac4900e-bc287ced-6281-f0921c0d94e0              0  naa.6001438009b050e60000500004b60000          1
NETAPP7_L71                  5ac71bc9-923db4bb-48b9-f0921c0d94e0              0  naa.60a980003830324d4924474d6e7a442f          1
NETAPP7_L72                  5ac71c05-1bea48ab-09df-f0921c0d94e0              0  naa.60a980003830324e473f474d6f427639          1
B_AFF300_L211_SSD            5b1b7c11-95a04e7a-a70a-9cdc71625110              0  naa.600a098038304654472b4c72732f5847          1
B_AFF300_L221_SSD            5b1b7c73-a90fc623-c47d-9cdc71625110              0  naa.600a098038304652675d4c7353532f30          1
A_AFF300_L111_SSD            5b1b7ca7-25546f2a-2e9d-9cdc71625110              0  naa.600a098038304652643f4c7259556235          1
A_AFF300_L121_SSD            5b1b7d12-11392cfa-86a1-9cdc71625110              0  naa.600a098038304651795d4c7273687866          1
A_AFF300_L122_SSD            5b30e89f-48bae261-dd1c-f0921c0d94e0              0  naa.600a098038304651795d4c7273687867          1
A_AFF300_L123_SSD            5b30e8b1-dd918ad4-a36c-f0921c0d94e0              0  naa.600a098038304651795d4c7273687868          1
A_AFF300_L124_SSD            5b30e8bf-e0053e0f-699c-f0921c0d94e0              0  naa.600a098038304651795d4c7273687869          1
A_AFF300_L112_SSD            5b30e8d4-c8ce0383-23e7-f0921c0d94e0              0  naa.600a098038304652643f4c7259556236          1
A_AFF300_L113_SSD            5b30e8de-f7f49e51-03ef-f0921c0d94e0              0  naa.600a098038304652643f4c7259556237          1
A_AFF300_L114_SSD            5b30e8ea-a70477b8-5aae-f0921c0d94e0              0  naa.600a098038304652643f4c7259556238          1
